fecha,id_solicitud,sku,monto,monto_uf,dias_desde_compra,estado_producto,ruta,motivo,U_aplicado,D_aplicado
2026-09-13T16:34:26.010-03:00,DEV-1115,AU-210,19990,"0,49",3,sin_abrir,APROBACION,"dentro de plazo, bajo el umbral y sin fallas: reembolso inmediato",48000,21
2026-09-13T16:34:28.251-03:00,DEV-1116,TE-330,69980,"1,71",5,abierto_sin_uso,REVISION,monto sobre el umbral: supera los 48000,48000,21
2026-09-13T16:34:29.853-03:00,DEV-1117,HV-050,24990,"0,61",12,con_fallas,REVISION,producto declarado con fallas,48000,21
2026-09-13T16:34:32.075-03:00,DEV-1118,MW-150,79990,"1,95",4,sin_abrir,REVISION,monto sobre el umbral: supera los 48000,48000,21
2026-09-13T16:34:33.994-03:00,DEV-1119,PL-120,45990,"1,12",25,danado_por_uso,RECHAZO,"fuera de plazo: 25 dias, el maximo es 21",48000,21
2026-09-13T16:34:35.818-03:00,DEV-1120,AS-260,89990,"2,2",2,con_fallas,REVISION,monto sobre el umbral: supera los 48000,48000,21
2026-09-13T16:34:37.940-03:00,DEV-1121,LV-330,289990,"7,09",9,sin_abrir,REVISION,monto sobre el umbral: supera los 48000,48000,21
2026-09-13T16:34:39.843-03:00,DEV-1122,PL-120,45990,"1,12",2,sin_abrir,APROBACION,"dentro de plazo, bajo el umbral y sin fallas: reembolso inmediato",48000,21
2026-09-13T16:34:42.108-03:00,DEV-1123,AU-210,39980,"0,98",15,danado_por_uso,RECHAZO,producto danado por uso,48000,21
2026-09-13T16:34:44.089-03:00,DEV-1124,HV-050,49980,"1,22",1,abierto_sin_uso,REVISION,monto sobre el umbral: supera los 48000,48000,21
2026-09-13T16:34:45.996-03:00,DEV-1125,TE-330,34990,"0,86",22,sin_abrir,RECHAZO,"fuera de plazo: 22 dias, el maximo es 21",48000,21
2026-09-13T16:34:47.846-03:00,DEV-1126,MW-150,79990,"1,95",8,con_fallas,REVISION,monto sobre el umbral: supera los 48000,48000,21
2026-09-13T16:34:49.800-03:00,DEV-C01,CB-010,9990,"0,24",1,sin_abrir,APROBACION,"dentro de plazo, bajo el umbral y sin fallas: reembolso inmediato",48000,21
2026-09-13T16:34:51.991-03:00,DEV-C02,LV-330,289990,"7,09",2,sin_abrir,REVISION,monto sobre el umbral: supera los 48000,48000,21
2026-09-13T16:34:54.150-03:00,DEV-C03,MW-150,79990,"1,95",29,abierto_sin_uso,RECHAZO,"fuera de plazo: 29 dias, el maximo es 21",48000,21
